"Story","Title","Result","Date","Stability","Duration (s)"
"Create students data driven test","Data Driven Test for Adding Multiple Students to the StudentsApp","SUCCESS","2018-02-16T17:56:52.730+05:30","0.0","42.31"
"Students CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2018-02-16T17:56:11.646+05:30","0.0","1.45"
"First serenity test","Get all students","SUCCESS","2018-02-16T17:56:04.704+05:30","0.0","0.59"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","SUCCESS","2018-02-16T17:56:03.784+05:30","0.0","0.7"
"Students CRUD test","This test will create a new student using POST operation","SUCCESS","2018-02-16T17:55:40.457+05:30","0.0","21.39"
"First serenity test","This test will get the information of all the students from the Student App","SUCCESS","2018-02-16T17:55:42.667+05:30","0.0","19.68"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2018-02-16T17:55:40.941+05:30","0.0","20.63"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2018-02-16T17:56:04.486+05:30","0.0","0.66"
"Students CRUD test","Update the User Information and verify the updated information","SUCCESS","2018-02-16T17:56:08.339+05:30","0.0","3.31"
"Students CRUD test","Verify if the student was added to the application","SUCCESS","2018-02-16T17:56:02.364+05:30","0.0","5.98"
